"","date","ID_1","NAME_1","t2m"
"1","2021-01-01",1,"Aragatsotn",-10.41
"2","2021-01-01",2,"Ararat",-8.85
"3","2021-01-01",3,"Armavir",-10.88
"4","2021-01-01",4,"Erevan",-10.26
"5","2021-01-01",5,"Gegharkunik",-10.71
"6","2021-01-01",6,"Kotayk",-11.99
"7","2021-01-01",7,"Lori",-8.23
"8","2021-01-01",8,"Shirak",-10.49
"9","2021-01-01",9,"Syunik",-9.72
"10","2021-01-01",10,"Tavush",-5.52
"11","2021-01-01",11,"Vayots Dzor",-12.63
"12","2021-01-02",1,"Aragatsotn",-9.96
"13","2021-01-02",2,"Ararat",-9.92
"14","2021-01-02",3,"Armavir",-10.44
"15","2021-01-02",4,"Erevan",-10.33
"16","2021-01-02",5,"Gegharkunik",-10.73
"17","2021-01-02",6,"Kotayk",-11.81
"18","2021-01-02",7,"Lori",-7.07
"19","2021-01-02",8,"Shirak",-11.31
"20","2021-01-02",9,"Syunik",-10.76
"21","2021-01-02",10,"Tavush",-3.73
"22","2021-01-02",11,"Vayots Dzor",-14.13
"23","2021-01-03",1,"Aragatsotn",-7.61
"24","2021-01-03",2,"Ararat",-8.06
"25","2021-01-03",3,"Armavir",-7.04
"26","2021-01-03",4,"Erevan",-7.55
"27","2021-01-03",5,"Gegharkunik",-7.93
"28","2021-01-03",6,"Kotayk",-7.4
"29","2021-01-03",7,"Lori",-6.86
"30","2021-01-03",8,"Shirak",-9.71
"31","2021-01-03",9,"Syunik",-10.05
"32","2021-01-03",10,"Tavush",-2.05
"33","2021-01-03",11,"Vayots Dzor",-13.33
"34","2021-01-04",1,"Aragatsotn",-8.05
"35","2021-01-04",2,"Ararat",-7.63
"36","2021-01-04",3,"Armavir",-8.05
"37","2021-01-04",4,"Erevan",-6.66
"38","2021-01-04",5,"Gegharkunik",-8.65
"39","2021-01-04",6,"Kotayk",-7.81
"40","2021-01-04",7,"Lori",-6.77
"41","2021-01-04",8,"Shirak",-9.78
"42","2021-01-04",9,"Syunik",-7.49
"43","2021-01-04",10,"Tavush",-2.65
"44","2021-01-04",11,"Vayots Dzor",-11.47
"45","2021-01-05",1,"Aragatsotn",-8.99
"46","2021-01-05",2,"Ararat",-9.5
"47","2021-01-05",3,"Armavir",-8.96
"48","2021-01-05",4,"Erevan",-8.62
"49","2021-01-05",5,"Gegharkunik",-10.31
"50","2021-01-05",6,"Kotayk",-7.86
"51","2021-01-05",7,"Lori",-8.14
"52","2021-01-05",8,"Shirak",-10.25
"53","2021-01-05",9,"Syunik",-13.3
"54","2021-01-05",10,"Tavush",-2.68
"55","2021-01-05",11,"Vayots Dzor",-16.89
"56","2021-01-06",1,"Aragatsotn",-11.2
"57","2021-01-06",2,"Ararat",-11.68
"58","2021-01-06",3,"Armavir",-12.18
"59","2021-01-06",4,"Erevan",-9.83
"60","2021-01-06",5,"Gegharkunik",-10.43
"61","2021-01-06",6,"Kotayk",-10.27
"62","2021-01-06",7,"Lori",-9.27
"63","2021-01-06",8,"Shirak",-11.2
"64","2021-01-06",9,"Syunik",-12.56
"65","2021-01-06",10,"Tavush",-2.9
"66","2021-01-06",11,"Vayots Dzor",-15.64
"67","2021-01-07",1,"Aragatsotn",-10.7
"68","2021-01-07",2,"Ararat",-11.11
"69","2021-01-07",3,"Armavir",-10.81
"70","2021-01-07",4,"Erevan",-9.72
"71","2021-01-07",5,"Gegharkunik",-9.64
"72","2021-01-07",6,"Kotayk",-9.44
"73","2021-01-07",7,"Lori",-9.2
"74","2021-01-07",8,"Shirak",-11.34
"75","2021-01-07",9,"Syunik",-13.56
"76","2021-01-07",10,"Tavush",-4.63
"77","2021-01-07",11,"Vayots Dzor",-15.65
"78","2021-01-08",1,"Aragatsotn",-11.19
"79","2021-01-08",2,"Ararat",-10.43
"80","2021-01-08",3,"Armavir",-11.8
"81","2021-01-08",4,"Erevan",-9.11
"82","2021-01-08",5,"Gegharkunik",-11.88
"83","2021-01-08",6,"Kotayk",-11.23
"84","2021-01-08",7,"Lori",-8.33
"85","2021-01-08",8,"Shirak",-10.93
"86","2021-01-08",9,"Syunik",-11
"87","2021-01-08",10,"Tavush",-5.97
"88","2021-01-08",11,"Vayots Dzor",-13.91
"89","2021-01-09",1,"Aragatsotn",-10.69
"90","2021-01-09",2,"Ararat",-8.42
"91","2021-01-09",3,"Armavir",-10.28
"92","2021-01-09",4,"Erevan",-8.76
"93","2021-01-09",5,"Gegharkunik",-9.11
"94","2021-01-09",6,"Kotayk",-9.52
"95","2021-01-09",7,"Lori",-6.22
"96","2021-01-09",8,"Shirak",-11.18
"97","2021-01-09",9,"Syunik",-7.9
"98","2021-01-09",10,"Tavush",-2.83
"99","2021-01-09",11,"Vayots Dzor",-10.8
"100","2021-01-10",1,"Aragatsotn",-8.33
"101","2021-01-10",2,"Ararat",-8.12
"102","2021-01-10",3,"Armavir",-9.3
"103","2021-01-10",4,"Erevan",-6.53
"104","2021-01-10",5,"Gegharkunik",-8.36
"105","2021-01-10",6,"Kotayk",-7.83
"106","2021-01-10",7,"Lori",-3.54
"107","2021-01-10",8,"Shirak",-7.81
"108","2021-01-10",9,"Syunik",-6.56
"109","2021-01-10",10,"Tavush",-0.26
"110","2021-01-10",11,"Vayots Dzor",-11.76
"111","2021-01-11",1,"Aragatsotn",-7.24
"112","2021-01-11",2,"Ararat",-6.99
"113","2021-01-11",3,"Armavir",-7.23
"114","2021-01-11",4,"Erevan",-5.25
"115","2021-01-11",5,"Gegharkunik",-6.48
"116","2021-01-11",6,"Kotayk",-6.28
"117","2021-01-11",7,"Lori",-2.52
"118","2021-01-11",8,"Shirak",-6.53
"119","2021-01-11",9,"Syunik",-5.59
"120","2021-01-11",10,"Tavush",0.78
"121","2021-01-11",11,"Vayots Dzor",-9.12
"122","2021-01-12",1,"Aragatsotn",-0.93
"123","2021-01-12",2,"Ararat",-2.28
"124","2021-01-12",3,"Armavir",0.27
"125","2021-01-12",4,"Erevan",0.56
"126","2021-01-12",5,"Gegharkunik",-2.11
"127","2021-01-12",6,"Kotayk",-0.65
"128","2021-01-12",7,"Lori",0.07
"129","2021-01-12",8,"Shirak",-1.47
"130","2021-01-12",9,"Syunik",-1.66
"131","2021-01-12",10,"Tavush",1.41
"132","2021-01-12",11,"Vayots Dzor",-5.08
"133","2021-01-13",1,"Aragatsotn",-2.04
"134","2021-01-13",2,"Ararat",-1.22
"135","2021-01-13",3,"Armavir",-1.95
"136","2021-01-13",4,"Erevan",0.17
"137","2021-01-13",5,"Gegharkunik",-2.74
"138","2021-01-13",6,"Kotayk",-1.48
"139","2021-01-13",7,"Lori",-0.78
"140","2021-01-13",8,"Shirak",-0.78
"141","2021-01-13",9,"Syunik",-1.61
"142","2021-01-13",10,"Tavush",0.96
"143","2021-01-13",11,"Vayots Dzor",-5.4
"144","2021-01-14",1,"Aragatsotn",2.41
"145","2021-01-14",2,"Ararat",3.46
"146","2021-01-14",3,"Armavir",4.67
"147","2021-01-14",4,"Erevan",4.34
"148","2021-01-14",5,"Gegharkunik",0
"149","2021-01-14",6,"Kotayk",2.43
"150","2021-01-14",7,"Lori",1.14
"151","2021-01-14",8,"Shirak",0.69
"152","2021-01-14",9,"Syunik",0.49
"153","2021-01-14",10,"Tavush",3.01
"154","2021-01-14",11,"Vayots Dzor",0.5
"155","2021-01-15",1,"Aragatsotn",1.84
"156","2021-01-15",2,"Ararat",2.67
"157","2021-01-15",3,"Armavir",3.72
"158","2021-01-15",4,"Erevan",3.9
"159","2021-01-15",5,"Gegharkunik",-1.78
"160","2021-01-15",6,"Kotayk",0.96
"161","2021-01-15",7,"Lori",0.88
"162","2021-01-15",8,"Shirak",0.94
"163","2021-01-15",9,"Syunik",0.1
"164","2021-01-15",10,"Tavush",2.98
"165","2021-01-15",11,"Vayots Dzor",-1.2
"166","2021-01-16",1,"Aragatsotn",-1.26
"167","2021-01-16",2,"Ararat",0.16
"168","2021-01-16",3,"Armavir",1.64
"169","2021-01-16",4,"Erevan",-0.14
"170","2021-01-16",5,"Gegharkunik",-3.77
"171","2021-01-16",6,"Kotayk",-2.08
"172","2021-01-16",7,"Lori",-0.65
"173","2021-01-16",8,"Shirak",-2.37
"174","2021-01-16",9,"Syunik",-3.14
"175","2021-01-16",10,"Tavush",1.03
"176","2021-01-16",11,"Vayots Dzor",-3.94
"177","2021-01-17",1,"Aragatsotn",-5.68
"178","2021-01-17",2,"Ararat",-2.84
"179","2021-01-17",3,"Armavir",-2.64
"180","2021-01-17",4,"Erevan",-4.6
"181","2021-01-17",5,"Gegharkunik",-6.53
"182","2021-01-17",6,"Kotayk",-6.13
"183","2021-01-17",7,"Lori",-6.81
"184","2021-01-17",8,"Shirak",-5.65
"185","2021-01-17",9,"Syunik",-5.43
"186","2021-01-17",10,"Tavush",-0.47
"187","2021-01-17",11,"Vayots Dzor",-7.82
"188","2021-01-18",1,"Aragatsotn",-0.24
"189","2021-01-18",2,"Ararat",1.3
"190","2021-01-18",3,"Armavir",3.3
"191","2021-01-18",4,"Erevan",1.7
"192","2021-01-18",5,"Gegharkunik",-4.12
"193","2021-01-18",6,"Kotayk",-1.12
"194","2021-01-18",7,"Lori",-2.15
"195","2021-01-18",8,"Shirak",-2.23
"196","2021-01-18",9,"Syunik",-2.83
"197","2021-01-18",10,"Tavush",-0.26
"198","2021-01-18",11,"Vayots Dzor",-3.3
"199","2021-01-19",1,"Aragatsotn",-4.52
"200","2021-01-19",2,"Ararat",-2.53
"201","2021-01-19",3,"Armavir",-1.31
"202","2021-01-19",4,"Erevan",-2.91
"203","2021-01-19",5,"Gegharkunik",-5.77
"204","2021-01-19",6,"Kotayk",-4.93
"205","2021-01-19",7,"Lori",-4.28
"206","2021-01-19",8,"Shirak",-6.33
"207","2021-01-19",9,"Syunik",-4.29
"208","2021-01-19",10,"Tavush",-1.9
"209","2021-01-19",11,"Vayots Dzor",-4.38
"210","2021-01-20",1,"Aragatsotn",-8.81
"211","2021-01-20",2,"Ararat",-6.38
"212","2021-01-20",3,"Armavir",-5.35
"213","2021-01-20",4,"Erevan",-7.54
"214","2021-01-20",5,"Gegharkunik",-8.55
"215","2021-01-20",6,"Kotayk",-8.44
"216","2021-01-20",7,"Lori",-7.82
"217","2021-01-20",8,"Shirak",-13.09
"218","2021-01-20",9,"Syunik",-6.79
"219","2021-01-20",10,"Tavush",-5.32
"220","2021-01-20",11,"Vayots Dzor",-7.02
"221","2021-01-21",1,"Aragatsotn",-14.93
"222","2021-01-21",2,"Ararat",-10.85
"223","2021-01-21",3,"Armavir",-10.76
"224","2021-01-21",4,"Erevan",-12.73
"225","2021-01-21",5,"Gegharkunik",-11.85
"226","2021-01-21",6,"Kotayk",-14.49
"227","2021-01-21",7,"Lori",-14.61
"228","2021-01-21",8,"Shirak",-18.2
"229","2021-01-21",9,"Syunik",-9.16
"230","2021-01-21",10,"Tavush",-5.9
"231","2021-01-21",11,"Vayots Dzor",-12.01
"232","2021-01-22",1,"Aragatsotn",-14.94
"233","2021-01-22",2,"Ararat",-16.05
"234","2021-01-22",3,"Armavir",-13.81
"235","2021-01-22",4,"Erevan",-14.42
"236","2021-01-22",5,"Gegharkunik",-13.81
"237","2021-01-22",6,"Kotayk",-15.1
"238","2021-01-22",7,"Lori",-15.83
"239","2021-01-22",8,"Shirak",-19.16
"240","2021-01-22",9,"Syunik",-17.73
"241","2021-01-22",10,"Tavush",-8.16
"242","2021-01-22",11,"Vayots Dzor",-19.53
"243","2021-01-23",1,"Aragatsotn",-17.55
"244","2021-01-23",2,"Ararat",-18.76
"245","2021-01-23",3,"Armavir",-17.51
"246","2021-01-23",4,"Erevan",-17.45
"247","2021-01-23",5,"Gegharkunik",-14.61
"248","2021-01-23",6,"Kotayk",-17.56
"249","2021-01-23",7,"Lori",-17.75
"250","2021-01-23",8,"Shirak",-20.3
"251","2021-01-23",9,"Syunik",-17.6
"252","2021-01-23",10,"Tavush",-8.83
