"","date","ID_1","NAME_1","t2m"
"1","2021-01-01",1,"Gorenjska",-1.55
"2","2021-01-01",2,"Goriška",-0.21
"3","2021-01-01",3,"Jugovzhodna Slovenija",0.24
"4","2021-01-01",4,"Koroška",-4.51
"5","2021-01-01",5,"Notranjsko-kraška",0.73
"6","2021-01-01",6,"Obalno-kraška",2.97
"7","2021-01-01",7,"Osrednjeslovenska",0.41
"8","2021-01-01",8,"Podravska",-0.06
"9","2021-01-01",9,"Pomurska",-0.15
"10","2021-01-01",10,"Savinjska",-1.2
"11","2021-01-01",11,"Spodnjeposavska",-0.63
"12","2021-01-01",12,"Zasavska",-0.05
"13","2021-01-02",1,"Gorenjska",1
"14","2021-01-02",2,"Goriška",2.28
"15","2021-01-02",3,"Jugovzhodna Slovenija",2.67
"16","2021-01-02",4,"Koroška",-0.13
"17","2021-01-02",5,"Notranjsko-kraška",3.73
"18","2021-01-02",6,"Obalno-kraška",6.4
"19","2021-01-02",7,"Osrednjeslovenska",2.67
"20","2021-01-02",8,"Podravska",2.21
"21","2021-01-02",9,"Pomurska",3.14
"22","2021-01-02",10,"Savinjska",2.25
"23","2021-01-02",11,"Spodnjeposavska",2.4
"24","2021-01-02",12,"Zasavska",2.38
"25","2021-01-03",1,"Gorenjska",1.09
"26","2021-01-03",2,"Goriška",2.49
"27","2021-01-03",3,"Jugovzhodna Slovenija",3.42
"28","2021-01-03",4,"Koroška",0.91
"29","2021-01-03",5,"Notranjsko-kraška",3.65
"30","2021-01-03",6,"Obalno-kraška",6.14
"31","2021-01-03",7,"Osrednjeslovenska",3.18
"32","2021-01-03",8,"Podravska",2.94
"33","2021-01-03",9,"Pomurska",4.36
"34","2021-01-03",10,"Savinjska",2.93
"35","2021-01-03",11,"Spodnjeposavska",4.39
"36","2021-01-03",12,"Zasavska",3.46
"37","2021-01-04",1,"Gorenjska",0.68
"38","2021-01-04",2,"Goriška",1.22
"39","2021-01-04",3,"Jugovzhodna Slovenija",3.92
"40","2021-01-04",4,"Koroška",-0.17
"41","2021-01-04",5,"Notranjsko-kraška",2.72
"42","2021-01-04",6,"Obalno-kraška",4.17
"43","2021-01-04",7,"Osrednjeslovenska",3.27
"44","2021-01-04",8,"Podravska",2.47
"45","2021-01-04",9,"Pomurska",4.17
"46","2021-01-04",10,"Savinjska",2.46
"47","2021-01-04",11,"Spodnjeposavska",4.14
"48","2021-01-04",12,"Zasavska",3.26
"49","2021-01-05",1,"Gorenjska",0.43
"50","2021-01-05",2,"Goriška",1.88
"51","2021-01-05",3,"Jugovzhodna Slovenija",2.96
"52","2021-01-05",4,"Koroška",0.16
"53","2021-01-05",5,"Notranjsko-kraška",2.05
"54","2021-01-05",6,"Obalno-kraška",3.9
"55","2021-01-05",7,"Osrednjeslovenska",2.52
"56","2021-01-05",8,"Podravska",2.71
"57","2021-01-05",9,"Pomurska",3.75
"58","2021-01-05",10,"Savinjska",2.49
"59","2021-01-05",11,"Spodnjeposavska",4.15
"60","2021-01-05",12,"Zasavska",3.02
"61","2021-01-06",1,"Gorenjska",-0.17
"62","2021-01-06",2,"Goriška",1.08
"63","2021-01-06",3,"Jugovzhodna Slovenija",0.82
"64","2021-01-06",4,"Koroška",-0.42
"65","2021-01-06",5,"Notranjsko-kraška",0.73
"66","2021-01-06",6,"Obalno-kraška",3.28
"67","2021-01-06",7,"Osrednjeslovenska",0.89
"68","2021-01-06",8,"Podravska",1.06
"69","2021-01-06",9,"Pomurska",1.76
"70","2021-01-06",10,"Savinjska",0.93
"71","2021-01-06",11,"Spodnjeposavska",2.03
"72","2021-01-06",12,"Zasavska",1.11
"73","2021-01-07",1,"Gorenjska",-1.55
"74","2021-01-07",2,"Goriška",0.01
"75","2021-01-07",3,"Jugovzhodna Slovenija",-0.96
"76","2021-01-07",4,"Koroška",-2.86
"77","2021-01-07",5,"Notranjsko-kraška",0.04
"78","2021-01-07",6,"Obalno-kraška",2.73
