"","date","ID_1","NAME_1","t2m"
"1","2021-01-01",1,"Berat",4.3
"2","2021-01-01",2,"Dibër",1.52
"3","2021-01-01",3,"Durrës",8.36
"4","2021-01-01",4,"Elbasan",4.16
"5","2021-01-01",5,"Fier",7.83
"6","2021-01-01",6,"Gjirokastër",4.21
"7","2021-01-01",7,"Korçë",1.32
"8","2021-01-01",8,"Kukës",-0.57
"9","2021-01-01",9,"Lezhë",4.87
"10","2021-01-01",10,"Shkodër",2.16
"11","2021-01-01",11,"Tiranë",6.56
"12","2021-01-01",12,"Vlorë",7.14
"13","2021-01-02",1,"Berat",1.63
"14","2021-01-02",2,"Dibër",-1.31
"15","2021-01-02",3,"Durrës",8.92
"16","2021-01-02",4,"Elbasan",1.3
"17","2021-01-02",5,"Fier",7.11
"18","2021-01-02",6,"Gjirokastër",2.37
"19","2021-01-02",7,"Korçë",-0.9
"20","2021-01-02",8,"Kukës",-2.69
"21","2021-01-02",9,"Lezhë",3.41
"22","2021-01-02",10,"Shkodër",2.05
"23","2021-01-02",11,"Tiranë",5.16
"24","2021-01-02",12,"Vlorë",6.91
"25","2021-01-03",1,"Berat",7.06
"26","2021-01-03",2,"Dibër",3.32
"27","2021-01-03",3,"Durrës",10.04
"28","2021-01-03",4,"Elbasan",6.21
"29","2021-01-03",5,"Fier",10.47
"30","2021-01-03",6,"Gjirokastër",6.8
"31","2021-01-03",7,"Korçë",3.41
"32","2021-01-03",8,"Kukës",2.27
"33","2021-01-03",9,"Lezhë",7.14
"34","2021-01-03",10,"Shkodër",5.47
"35","2021-01-03",11,"Tiranë",8.62
"36","2021-01-03",12,"Vlorë",10.35
"37","2021-01-04",1,"Berat",6.7
"38","2021-01-04",2,"Dibër",2.37
"39","2021-01-04",3,"Durrës",10.68
"40","2021-01-04",4,"Elbasan",5.96
"41","2021-01-04",5,"Fier",10.23
"42","2021-01-04",6,"Gjirokastër",7.26
"43","2021-01-04",7,"Korçë",3.51
"44","2021-01-04",8,"Kukës",1.53
"45","2021-01-04",9,"Lezhë",5.86
"46","2021-01-04",10,"Shkodër",4.81
"47","2021-01-04",11,"Tiranë",8.71
"48","2021-01-04",12,"Vlorë",10.35
"49","2021-01-05",1,"Berat",4.99
"50","2021-01-05",2,"Dibër",1.68
"51","2021-01-05",3,"Durrës",8.47
"52","2021-01-05",4,"Elbasan",5.16
"53","2021-01-05",5,"Fier",8.39
"54","2021-01-05",6,"Gjirokastër",4.63
"55","2021-01-05",7,"Korçë",2.3
"56","2021-01-05",8,"Kukës",1.99
"57","2021-01-05",9,"Lezhë",5.66
"58","2021-01-05",10,"Shkodër",4.33
