"","date","ID_1","NAME_1","t2m"
"1","2021-01-01",1,"Östergötland",1.5
"2","2021-01-01",2,"Blekinge",2.93
"3","2021-01-01",3,"Dalarna",-1.11
"4","2021-01-01",4,"Gävleborg",0.01
"5","2021-01-01",5,"Gotland",2.88
"6","2021-01-01",6,"Halland",1.3
"7","2021-01-01",7,"Jämtland",-5.57
"8","2021-01-01",8,"Jönköping",0.72
"9","2021-01-01",9,"Kalmar",2.01
"10","2021-01-01",10,"Kronoberg",1.16
"11","2021-01-01",11,"Norrbotten",-2.75
"12","2021-01-01",12,"Orebro",1.68
"13","2021-01-01",13,"Södermanland",2.06
"14","2021-01-01",14,"Skåne",2.02
"15","2021-01-01",15,"Stockholm",2.59
"16","2021-01-01",16,"Uppsala",1.92
"17","2021-01-01",17,"Värmland",0.85
"18","2021-01-01",18,"Västerbotten",-4.49
"19","2021-01-01",19,"Västernorrland",-1.03
"20","2021-01-01",20,"Västmanland",2.01
"21","2021-01-01",21,"Västra Götaland",1.78
"22","2021-01-02",1,"Östergötland",0.98
"23","2021-01-02",2,"Blekinge",1.3
"24","2021-01-02",3,"Dalarna",-1.56
"25","2021-01-02",4,"Gävleborg",-0.03
"26","2021-01-02",5,"Gotland",1.67
"27","2021-01-02",6,"Halland",-0.03
"28","2021-01-02",7,"Jämtland",-3.14
"29","2021-01-02",8,"Jönköping",-0.45
"30","2021-01-02",9,"Kalmar",1.16
"31","2021-01-02",10,"Kronoberg",-0.08
"32","2021-01-02",11,"Norrbotten",-7.4
"33","2021-01-02",12,"Orebro",0.2
"34","2021-01-02",13,"Södermanland",1.43
"35","2021-01-02",14,"Skåne",0.33
"36","2021-01-02",15,"Stockholm",1.63
"37","2021-01-02",16,"Uppsala",0.57
"38","2021-01-02",17,"Värmland",-0.33
"39","2021-01-02",18,"Västerbotten",-5.86
"40","2021-01-02",19,"Västernorrland",-2.91
"41","2021-01-02",20,"Västmanland",0.45
"42","2021-01-02",21,"Västra Götaland",0.53
"43","2021-01-03",1,"Östergötland",0.41
"44","2021-01-03",2,"Blekinge",1.57
