"","date","ID_1","NAME_1","t2m"
"1","2021-01-01",1,"Eastern Finland",-1.23
"2","2021-01-01",2,"Lapland",-3.4
"3","2021-01-01",3,"Oulu",-2.87
"4","2021-01-01",4,"Southern Finland",0.46
"5","2021-01-01",5,"Western Finland",-0.28
"6","2021-01-02",1,"Eastern Finland",-1.19
"7","2021-01-02",2,"Lapland",-6.02
"8","2021-01-02",3,"Oulu",-5.22
"9","2021-01-02",4,"Southern Finland",-0.01
"10","2021-01-02",5,"Western Finland",-1.25
"11","2021-01-03",1,"Eastern Finland",-1.75
"12","2021-01-03",2,"Lapland",-9.78
"13","2021-01-03",3,"Oulu",-5.18
"14","2021-01-03",4,"Southern Finland",-1.28
"15","2021-01-03",5,"Western Finland",-3.57
"16","2021-01-04",1,"Eastern Finland",-3.57
"17","2021-01-04",2,"Lapland",-14.04
"18","2021-01-04",3,"Oulu",-11.65
"19","2021-01-04",4,"Southern Finland",-1.56
"20","2021-01-04",5,"Western Finland",-4.57
"21","2021-01-05",1,"Eastern Finland",-9.16
"22","2021-01-05",2,"Lapland",-14.87
"23","2021-01-05",3,"Oulu",-14.23
"24","2021-01-05",4,"Southern Finland",-3.15
"25","2021-01-05",5,"Western Finland",-8.65
"26","2021-01-06",1,"Eastern Finland",-8.71
"27","2021-01-06",2,"Lapland",-8.67
"28","2021-01-06",3,"Oulu",-11.35
"29","2021-01-06",4,"Southern Finland",-4.9
"30","2021-01-06",5,"Western Finland",-9.58
"31","2021-01-07",1,"Eastern Finland",-6.67
"32","2021-01-07",2,"Lapland",-10.29
"33","2021-01-07",3,"Oulu",-10.54
"34","2021-01-07",4,"Southern Finland",-2.35
"35","2021-01-07",5,"Western Finland",-6.11
"36","2021-01-08",1,"Eastern Finland",-7.51
"37","2021-01-08",2,"Lapland",-11.59
"38","2021-01-08",3,"Oulu",-8.39
"39","2021-01-08",4,"Southern Finland",-3.61
"40","2021-01-08",5,"Western Finland",-5.61
"41","2021-01-09",1,"Eastern Finland",-13.19
"42","2021-01-09",2,"Lapland",-10.87
"43","2021-01-09",3,"Oulu",-12.35
"44","2021-01-09",4,"Southern Finland",-7.23
"45","2021-01-09",5,"Western Finland",-7.48
"46","2021-01-10",1,"Eastern Finland",-18.44
"47","2021-01-10",2,"Lapland",-12.8
"48","2021-01-10",3,"Oulu",-17.62
"49","2021-01-10",4,"Southern Finland",-10.91
"50","2021-01-10",5,"Western Finland",-10.96
"51","2021-01-11",1,"Eastern Finland",-13.42
"52","2021-01-11",2,"Lapland",-14.98
"53","2021-01-11",3,"Oulu",-13.53
"54","2021-01-11",4,"Southern Finland",-5.13
"55","2021-01-11",5,"Western Finland",-3.26
"56","2021-01-12",1,"Eastern Finland",-10.75
"57","2021-01-12",2,"Lapland",-13.14
"58","2021-01-12",3,"Oulu",-12.26
"59","2021-01-12",4,"Southern Finland",-5.25
"60","2021-01-12",5,"Western Finland",-3.69
"61","2021-01-13",1,"Eastern Finland",-16.85
"62","2021-01-13",2,"Lapland",-23.19
"63","2021-01-13",3,"Oulu",-21.57
"64","2021-01-13",4,"Southern Finland",-6.63
"65","2021-01-13",5,"Western Finland",-7.54
"66","2021-01-14",1,"Eastern Finland",-23.8
"67","2021-01-14",2,"Lapland",-26.56
"68","2021-01-14",3,"Oulu",-26.76
"69","2021-01-14",4,"Southern Finland",-11.74
"70","2021-01-14",5,"Western Finland",-15.53
"71","2021-01-15",1,"Eastern Finland",-28.41
"72","2021-01-15",2,"Lapland",-17.43
"73","2021-01-15",3,"Oulu",-28.89
"74","2021-01-15",4,"Southern Finland",-23.15
"75","2021-01-15",5,"Western Finland",-24.23
"76","2021-01-16",1,"Eastern Finland",-18.01
"77","2021-01-16",2,"Lapland",-4.39
"78","2021-01-16",3,"Oulu",-14.04
"79","2021-01-16",4,"Southern Finland",-15.73
"80","2021-01-16",5,"Western Finland",-8.25
"81","2021-01-17",1,"Eastern Finland",-11.69
"82","2021-01-17",2,"Lapland",-7.05
"83","2021-01-17",3,"Oulu",-6.77
"84","2021-01-17",4,"Southern Finland",-17.16
"85","2021-01-17",5,"Western Finland",-8.92
"86","2021-01-18",1,"Eastern Finland",-4.85
"87","2021-01-18",2,"Lapland",-10.71
"88","2021-01-18",3,"Oulu",-6.12
"89","2021-01-18",4,"Southern Finland",-8.44
"90","2021-01-18",5,"Western Finland",-6.13
"91","2021-01-19",1,"Eastern Finland",-5.71
