"","date","ID_1","NAME_1","t2m"
"1","2021-01-01",1,"Famagusta",17.35
"2","2021-01-01",2,"Larnaca",13.13
"3","2021-01-01",3,"Limassol",11.82
"4","2021-01-01",4,"Nicosia",8.47
"5","2021-01-01",5,"Paphos",13.32
"6","2021-01-02",1,"Famagusta",18.08
"7","2021-01-02",2,"Larnaca",14.14
"8","2021-01-02",3,"Limassol",12.1
"9","2021-01-02",4,"Nicosia",9.95
"10","2021-01-02",5,"Paphos",14.17
"11","2021-01-03",1,"Famagusta",18.01
"12","2021-01-03",2,"Larnaca",14.22
"13","2021-01-03",3,"Limassol",11.95
"14","2021-01-03",4,"Nicosia",9.45
"15","2021-01-03",5,"Paphos",13.93
"16","2021-01-04",1,"Famagusta",18.34
"17","2021-01-04",2,"Larnaca",14.6
"18","2021-01-04",3,"Limassol",12.93
"19","2021-01-04",4,"Nicosia",10.23
"20","2021-01-04",5,"Paphos",14.52
"21","2021-01-05",1,"Famagusta",18.43
"22","2021-01-05",2,"Larnaca",14.62
"23","2021-01-05",3,"Limassol",12.84
"24","2021-01-05",4,"Nicosia",10.51
"25","2021-01-05",5,"Paphos",14.16
"26","2021-01-06",1,"Famagusta",18.11
"27","2021-01-06",2,"Larnaca",14.01
"28","2021-01-06",3,"Limassol",12.63
"29","2021-01-06",4,"Nicosia",10.11
"30","2021-01-06",5,"Paphos",14.18
"31","2021-01-07",1,"Famagusta",18.13
"32","2021-01-07",2,"Larnaca",14.75
"33","2021-01-07",3,"Limassol",13.78
"34","2021-01-07",4,"Nicosia",11.33
"35","2021-01-07",5,"Paphos",15.05
"36","2021-01-08",1,"Famagusta",17.89
"37","2021-01-08",2,"Larnaca",14.03
"38","2021-01-08",3,"Limassol",13.37
"39","2021-01-08",4,"Nicosia",10.76
"40","2021-01-08",5,"Paphos",14.74
"41","2021-01-09",1,"Famagusta",18.06
"42","2021-01-09",2,"Larnaca",13.99
"43","2021-01-09",3,"Limassol",13.02
"44","2021-01-09",4,"Nicosia",10.2
"45","2021-01-09",5,"Paphos",14.2
"46","2021-01-10",1,"Famagusta",17.99
"47","2021-01-10",2,"Larnaca",14.34
"48","2021-01-10",3,"Limassol",13.25
"49","2021-01-10",4,"Nicosia",10.27
"50","2021-01-10",5,"Paphos",14.73
"51","2021-01-11",1,"Famagusta",16.22
"52","2021-01-11",2,"Larnaca",13.18
"53","2021-01-11",3,"Limassol",12.85
"54","2021-01-11",4,"Nicosia",9.18
"55","2021-01-11",5,"Paphos",14.53
"56","2021-01-12",1,"Famagusta",17.39
"57","2021-01-12",2,"Larnaca",15.02
"58","2021-01-12",3,"Limassol",14.65
"59","2021-01-12",4,"Nicosia",11.46
"60","2021-01-12",5,"Paphos",15.43
"61","2021-01-13",1,"Famagusta",19.09
"62","2021-01-13",2,"Larnaca",17.32
"63","2021-01-13",3,"Limassol",17.05
"64","2021-01-13",4,"Nicosia",15.25
"65","2021-01-13",5,"Paphos",18.31
"66","2021-01-14",1,"Famagusta",16.16
"67","2021-01-14",2,"Larnaca",14.01
"68","2021-01-14",3,"Limassol",12.56
"69","2021-01-14",4,"Nicosia",10.86
"70","2021-01-14",5,"Paphos",13.13
"71","2021-01-15",1,"Famagusta",15
"72","2021-01-15",2,"Larnaca",12.82
"73","2021-01-15",3,"Limassol",12.22
"74","2021-01-15",4,"Nicosia",9.66
"75","2021-01-15",5,"Paphos",13.17
"76","2021-01-16",1,"Famagusta",16.75
"77","2021-01-16",2,"Larnaca",13.88
"78","2021-01-16",3,"Limassol",12.22
"79","2021-01-16",4,"Nicosia",9.67
"80","2021-01-16",5,"Paphos",13.34
"81","2021-01-17",1,"Famagusta",14.58
"82","2021-01-17",2,"Larnaca",12.25
"83","2021-01-17",3,"Limassol",11.55
"84","2021-01-17",4,"Nicosia",9.74
"85","2021-01-17",5,"Paphos",12.26
"86","2021-01-18",1,"Famagusta",13.45
"87","2021-01-18",2,"Larnaca",11.53
"88","2021-01-18",3,"Limassol",10.22
"89","2021-01-18",4,"Nicosia",8.44
"90","2021-01-18",5,"Paphos",10.52
"91","2021-01-19",1,"Famagusta",12.36
"92","2021-01-19",2,"Larnaca",11.02
"93","2021-01-19",3,"Limassol",10.54
"94","2021-01-19",4,"Nicosia",7.59
"95","2021-01-19",5,"Paphos",10.56
"96","2021-01-20",1,"Famagusta",10.57
"97","2021-01-20",2,"Larnaca",9.56
"98","2021-01-20",3,"Limassol",9.22
"99","2021-01-20",4,"Nicosia",6.15
"100","2021-01-20",5,"Paphos",9.67
"101","2021-01-21",1,"Famagusta",11.34
"102","2021-01-21",2,"Larnaca",7.97
"103","2021-01-21",3,"Limassol",7.84
"104","2021-01-21",4,"Nicosia",3.6
"105","2021-01-21",5,"Paphos",8.79
